pickup_zone,n_trips,avg_distance,median_fare,avg_tip_ratio
JFK Airport,1183803,15.425462386900522,70.0,0.14083536048330522
Upper East Side South,1164001,2.5915652563872364,10.7,0.2204362399342835
Midtown Center,1132535,3.2759193755601372,13.5,0.20343034086877584
Upper East Side North,990073,3.0520427483629997,11.4,0.21252595163672255
Penn Station/Madison Sq West,846482,2.8471483740941923,14.9,0.20141276732231475
Midtown East,826019,3.239722367161046,13.5,0.21208087778512313
Times Sq/Theatre District,799932,3.4906383792622373,14.2,0.18996058095597032
LaGuardia Airport,741692,9.673856978368379,43.6,0.23251699563288172
Lincoln Square East,734386,2.9144552592233515,12.1,0.20851471493591114
Murray Hill,702936,3.776262646955057,13.5,0.19838582385803483
Union Sq,687766,3.2227133211004904,12.8,0.1982106680758608
East Chelsea,672826,3.84166794981169,14.9,0.19247427350353055
Midtown North,669054,2.7189279938540087,12.8,0.2064545164790209
East Village,643421,5.549949115742259,13.83,0.1588313076922541
Upper West Side South,633415,5.567397835542259,12.1,0.2030991097727387
Clinton East,610452,5.412487714021742,12.8,0.18775720870464624
West Village,562022,4.084528790687909,13.21,0.18435434109668516
Midtown South,551596,4.761572110747721,13.5,0.1872190034569337
Lenox Hill West,544331,3.4717904179625996,11.4,0.19970182254305147
Gramercy,485277,4.643805640902,12.8,0.18634242566006876
Lenox Hill East,478894,4.828650223222676,13.5,0.1860741483788497
West Chelsea/Hudson Yards,474132,3.4038710316958145,14.9,0.17521346022006792
Yorkville West,445598,3.3202435154556347,11.94,0.18980584400853417
Upper West Side North,445357,5.394688687951464,12.1,0.18804122228405454
Sutton Place/Turtle Bay North,407233,3.5707022024246564,12.8,0.19865741007750126
Flatiron,391798,4.666162563361732,12.33,0.20601785399986122
Greenwich Village South,371225,6.134037820728668,13.5,0.18067279310976794
Garment District,363818,3.445755762496633,13.5,0.18509893283908166
TriBeCa/Civic Center,363464,4.569390778729118,16.3,0.1689210842887375
Greenwich Village North,357902,2.8172248269079248,12.8,0.19185708240936733
Central Park,353844,3.2177514950091,12.8,0.20585792840295328
Yorkville East,328563,5.546980183404704,12.83,0.17793865362560218
Lower East Side,324722,5.758841809301495,16.3,0.14816558402585836
Little Italy/NoLiTa,289260,6.5081533568415955,14.9,0.15834691857735947
Lincoln Square West,280971,8.597091265646633,12.8,0.17296302416710993
UN/Turtle Bay South,277767,4.00049404716903,13.5,0.17717296899909615
Kips Bay,274843,6.607900692395295,13.5,0.15680587056144082
Meatpacking/West Village West,267583,3.942459760149187,14.85,0.16509583910320894
SoHo,222215,4.371643723421012,14.45,0.1677772059207685
Manhattan Valley,193368,8.468509319018658,13.38,0.15919124930781878
Financial District North,190471,7.157312346761449,20.51,0.12975789714500757
East Harlem South,184862,10.329741699213468,14.73,0.1221743425089449
Clinton West,179385,6.272635727624941,14.2,0.13853066015927984
Battery Park City,168390,9.927430310588514,20.5,0.19593727851923523
Morningside Heights,138525,11.708786645009926,15.63,0.11631407063222844
World Trade Center,135483,7.138184569281754,21.2,0.1535508360921533
Hudson Sq,129809,6.6437354882943405,14.15,0.18117781294202584
Central Harlem,106889,33.591670985788994,16.3,0.059270772557635604
East Harlem North,99055,16.926539195396494,17.96,0.05094540923668183
Financial District South,93318,7.155759981997042,22.6,0.34314725071873253
Alphabet City,77703,15.955609693319435,16.3,0.07149623269270668
East Elmhurst,76519,9.25998771546936,42.9,0.19603381709567072
Central Harlem North,75992,43.761458969365194,21.44,0.01763356987378054
Bloomingdale,68129,7.13833286852882,14.52,0.1349127587290401
Two Bridges/Seward Park,67500,6.567749925925926,19.68,0.06396170121179638
Seaport,62483,9.710767568778708,20.26,0.13264785927174405
Williamsburg (North Side),56074,14.426782822698577,23.05,0.037196870419146155
Chinatown,55027,9.176394678975775,19.1,0.11091794245757759
Washington Heights South,52876,16.304831303426887,23.9,0.026528088899738542
Stuy Town/Peter Cooper Village,50373,15.40107517916344,15.22,0.08848237401772509
Astoria,49992,24.20934629540726,24.325,0.02214737886845503
Long Island City/Hunters Point,49047,13.005447835749385,24.78,0.0410733109790573
Crown Heights North,47101,18.865233009914864,23.5,0.006988321271071673
Hamilton Heights,47066,20.79473590277483,21.2,0.029918769328342417
Sunnyside,44340,25.01306179521876,25.14,0.053276548833273596
Williamsburg (South Side),41191,11.035997669393801,22.97,0.031068852595641756
Bushwick South,39008,19.470910069729285,25.53,0.008829443818480968
Greenpoint,36409,11.478016973825152,23.31,0.02649685863815999
East Williamsburg,35195,27.526369654780506,24.43,0.023296238522274533
Fort Greene,34144,22.937861996251172,22.6,0.04186449940443989
Downtown Brooklyn/MetroTech,33903,24.859703271096954,23.5,0.05709857248611871
DUMBO/Vinegar Hill,33447,23.905706341375907,24.06,0.05020285016220478
Brooklyn Heights,33274,28.18431177495943,24.5,0.05312576220865487
East New York,32848,12.674441670725766,24.5,0.0013946897000797602
Manhattanville,30693,17.091661616655262,18.81,0.04305972517464535
Jackson Heights,29665,17.872479689870218,26.1,0.03301994950436133
Boerum Hill,29596,14.01792607109069,23.735,0.051725985043593485
Jamaica,29449,18.87086420591531,24.5,0.013749833614683783
Stuyvesant Heights,29375,14.290696851063831,25.26,0.006593483517834221
Park Slope,29146,13.448397035613805,24.05,0.0330265270404832
Prospect-Lefferts Gardens,27831,26.559922748014802,23.48,0.005233168197933414
Bedford,26612,17.852885540357732,23.31,0.009168977261006024
Flatbush/Ditmas Park,26548,17.684465873135455,24.67,0.0039492574954897225
Bushwick North,24341,28.41292633827698,25.61,0.012133607734733019
Long Island City/Queens Plaza,24195,13.817599917338294,21.75,0.054806740864829846
Washington Heights North,23716,24.048536009445098,26.5,0.01742208296970308
Clinton Hill,22552,21.74419341965236,23.5,0.016864993137424504
South Ozone Park,22345,11.455763257999552,32.58,0.04876893998492714
Canarsie,22050,45.65191201814059,23.455,0.0008099280260270838
Flushing Meadows-Corona Park,21232,9.34625612283346,45.46,0.1233592461280919
Woodside,18584,20.26975893241498,21.5,0.031774340702662406
Richmond Hill,18517,13.379479397310579,25.28,0.021158235769952533
Old Astoria,18465,39.19982886542107,25.5,0.020987292044843623
Brownsville,17995,30.063817727146432,22.84,0.0007146785577490546
Mott Haven/Port Morris,17968,72.76090661175422,22.61,0.007010573636449884
Elmhurst,17966,10.953457642213069,22.555,0.013242232468415814
Ocean Hill,17616,25.06216337420527,23.82,0.002781328928295522
East Flatbush/Remsen Village,17151,38.700804034750156,21.5,0.0010720211075470024
Steinway,16751,7.356659303922155,29.27,0.045897631405201
Forest Hills,15844,24.8669004039384,26.51,0.01635291767652946
East Flatbush/Farragut,15589,21.97507858105074,22.52,0.0010196204695665304
Flatlands,15366,15.140832357152155,22.5,0.0009084643589004111
Queensbridge/Ravenswood,13850,11.605948736462095,24.54,0.023108666363141305
Sunset Park West,13820,13.966841534008683,28.95,0.012008876954748329
Baisley Park,13541,26.951393545528397,43.5,0.064129775334208
Crown Heights South,13491,29.81459120895412,23.75,0.006094003724559225
Ridgewood,12857,18.5419475771953,23.13,0.008849239425363377
Maspeth,11993,5.5498123905611605,25.69,0.04470150692864117
West Concourse,11614,53.51134665059411,24.355,0.017695248183791975
Prospect Heights,11482,57.17611043372234,24.5,0.028320519910970683
Bay Ridge,11364,74.41561334037311,30.215,0.0065842037181011856
Erasmus,11302,46.231363475491065,24.5,0.003135494091887993
Red Hook,11129,20.405551262467426,32.46,0.1490253628122283
Inwood,11067,33.97737417547665,25.47,0.009244271382286246
South Jamaica,10389,8.084232361151217,32.42,0.023965979994456967
East Concourse/Concourse Village,10141,33.59734542944483,23.5,0.002799319453195859
Battery Park,9995,4.3481690845422705,24.7,0.13954503851276215
Melrose South,9158,55.64872570430225,22.5,0.0028167039398339718
Saint Albans,9081,8.727871379803986,33.05,0.000811631683954554
Cypress Hills,9027,41.951290572726265,24.39,0.0022292487035367506
Soundview/Castle Hill,8999,18.70301255695077,27.59,0.003701461617083745
Cobble Hill,8969,69.87352324673877,23.48,0.061842857693134766
Carroll Gardens,8965,52.71152147239263,23.92,0.04562164828962813
Coney Island,8924,10.349001568803228,38.5,0.0034050922425359438
East New York/Pennsylvania Avenue,8678,8.831125835445954,24.01,0.0007149358866905775
Flushing,8616,21.77299791086351,27.655,0.009174713523279532
Corona,8483,41.54369209006248,29.65,0.017185187818633738
Co-Op City,8195,32.04591580231848,37.5,0.000750848375887539
Williamsbridge/Olinville,8179,8.823269348331092,31.65,0.0007471359237061339
Woodhaven,8063,19.138691554012155,23.85,0.0017559351742209236
